,Lot Number,Chassis Number,Running Condition,Seller,Location,Model,Year,Kilometers,Engine,Gearbox,Date,Price
162,24323,4-FJ4517222,True,ClemsonCruiser,"North Augusta, South Carolina 29860",Toyota Land Cruiser FJ40,1965,3540,Rebuilt 3.9-Liter F135 Inline-Six,Column-Shifted 3-Speed Manual Transmission,,37500
163,24455,184353-032993,True,Roffeman,"Woodinville, Washington 98072",Volvo P1800,1971,136000,"1,986cc B20E Fuel-Injected Inline-Four",4-Speed Manual Gearbox w/ Overdrive,,2501
164,24454,15984,True,ChuckHallau,"Chaska, Minnesota 55318",Triumph TR3,1957,48000,"1,991cc Inline-Four",4-Speed Manual Transmission,,3000
165,24243,2G1FT1EW2A9173829,True,2ndChance,"Downers Grove, Illinois 60515",Chevrolet Camaro,2010,17000,Supercharged 6.2L LS3 V8,6-Speed Manual Transmission,,9500
166,24338,WDB46332017093186,True,Chanc5,"Fort Worth, Texas 76116",Mercedes-Benz Gelandewagen,1993,324000,3.5L Turbodiesel Inline-Six,4-Speed Automatic Transmission,,12000
167,24449,1858CRSCAL,True,MohrImports,"Monterey, California 93940",,,4184,No Engine Data Found,Tremec Five-Speed Gearbox,,5100
168,24415,JM1NA3516L0139012,True,TimeIn2Seats,"Elizabethtown, Pennsylvania 17022",Mazda Miata,1990,46000,1.6-Liter DOHC Inline-Four,Five-Speed Manual Transmission,,4990
169,24332,221191,True,tgh767,"Fort Worth, Texas 76131",,1973,45000,745cc Parallel Twin,4-Speed Transmission,,4555
170,24469,JT4VN13G9P5112881,True,zenautoworks,"Calgary, Alberta, Canada",Toyota Pickup,1993,85000,3.0-Liter V6,4-Speed Automatic Transmission,,
171,24220,SALHV1246NA618878,True,csantacana,"Miami, Florida 33130",Land Rover Range Rover Classic,1992,384000,3.9-Liter V8,4-Speed Automatic Transmission,,7000
172,24267,BN1L4156796,True,chronow1,"Katy, Texas 77494",Austin-Healey 100,1954,104000,No Engine Data Found,3-Speed Manual Transmission,,30250
173,24219,ZFFSG17AXM0089530,True,dhillonsanu,"San Francisco, California 94112",Ferrari Testarossa,1991,82000,4.9-Liter Flat-12,5-Speed Manual Transaxle,,51989
174,24309,JM1NA3514M1228069,True,Ertech,"Champlain, NY 12919",Mazda Miata,1991,7170,1.6L Twin-Cam Four,Five-Speed Manual Transmission,,12500
175,24312,13639176,True,spanner56,"Saint Helena, California 94574",,1940,8000,No Engine Data Found,2-Speed Automatic Transmission,,4160
176,24268,WBADC7403J1717965,True,Vicopel,"Thousand Oaks, California 91360",BMW 5-Series,1988,341000,3.8-Liter Inline-Six Stroker Engine,5-Speed Manual Transmission,,15000
177,24416,FJ40164943,True,Erickhr,"Miami, Florida 33176",Toyota Land Cruiser FJ40,1974,35000,4.2-Liter 2F Straight Six,Four-Speed Manual Gearbox,,7500
178,24448,WDBEA92E6SF306716,True,choicedealsnc2017,"Raleigh, North Carolina 27606",Mercedes-Benz W124 E-Class,1995,222000,3.2L M104 Inline-Six,4-Speed Automatic Transmission,,3095
179,24318,WP0EB0915HS161245,True,salayc,"Studio City, California 91604",Porsche Impact Bumper 911,1987,204000,3.2L Flat-Six,G50 5-Speed Manual Transaxle,,14000
180,24277,SPL31000043,True,essjatee,"Sarasota, Florida 34234",Datsun Roadster,1964,17000,Numbers-Matching 1.5L Inline-Four,4-Speed Manual Transmission,,20000
181,24221,4S8S0DGD17200,True,CBMAN,"Gilroy, California 95020",International Harvester Scout,1974,1000,304ci V8,4-Speed Manual Gearbox,,7500
182,24402,WBAEG2316MCB73267,True,aleccartio,"Encino, California 91316",BMW E31 8-Series,1991,56000,5.0-Liter V12,Four-Speed Automatic Transmission,,9000
183,24290,HCR32000194,True,scottarcher105,"Midlothian, Virginia 23112",Nissan R32 Skyline,1989,,Replacement Turbo 2.5L RB25 Straight-Six,5-Speed Manual Gearbox,,5200
184,24252,CT20763L,True,BProKS54,"Olathe, Kansas 66062",Triumph TR4,1964,62000,"2,138cc Inline-Four",Four-Speed Manual Transmission,,14004
185,24262,WBAEE1406H2560612,True,CKESH,"Halifax, Nova Scotia, Canada",BMW E24 6-Series,1987,218000,Rebuilt 3.5-Liter Inline-Six,5-Speed Manual Transmission,,10000
186,24295,WAUHP84A9PN067660,True,rarecardude,"San Diego, California 92110",Audi S4,1993,238000,Turbocharged 2.2-Liter Inline-Five,Five-Speed Manual Transmission,,4000
187,24310,10801412046879,True,CNCmotors,"Upland, California 91784",Mercedes-Benz W108 & W109,1967,19000,2.5-Liter M129 Inline-Six,4-Speed Automatic Transmission,,10000
188,24436,DE14822017,True,mjcromer,"Mabank, Texas 75156",,1941,119000,No Engine Data Found,3-Speed Manual Transmission,,5200
189,24411,WP0AC2A97JS176277,True,graydon,"Santa Fe, New Mexico 87501",Porsche GT3,2018,1770,500-Horsepower 4.0L Flat-Six,6-Speed Manual Transaxle,,103991
190,24438,11401512017146,True,Ohvrkl,"Honolulu, Hawaii 96825",,1969,3379,6.0-Liter L76 V8,Six-Speed Automatic Transmission,,3000
191,24286,WDBBA48D2JA090850,True,icona,"Lansdale, Pennsylvania 19446",Mercedes-Benz R107 SL,1988,56000,5.5-liter V8,4-Speed Automatic Transmission,,11000
192,24337,WP0EB0917ES160383,True,Nathanyork,"Oklahoma City, Oklahoma 73101",Porsche Impact Bumper 911,1984,159000,Replacement 3.0-Liter Flat-Six,915 Five-Speed Manual Transaxle,,12000
193,24380,JT3FJ60G9G1133226,True,Impslap,"EL PASO, Texas 79922",Toyota Land Cruiser FJ60 & FJ62,1986,3000,6.0L LS V8,4-Speed Automatic Transmission,,10875
194,24369,007,True,rfeds,"Bend, Oregon 97703",,1967,,"2,165cc VW Flat-Four",Four-Speed VW Transaxle,,11000
195,24273,U15GLR63904,True,Jarclay,"Dallas, Texas 75208",Ford Bronco,1973,5954,302ci V8,3-Speed Automatic Transmission,,19000
196,24387,YV1FX874XG1033227,True,brezac,"Portland, Oregon 97225",,1986,159000,Turbocharged 2.3L Inline-Four,Four-Speed Manual Transmission w/ Overdrive,,1800
197,24420,100-502156,True,DallasMotorsports75098,"Wylie, Texas 75098",,1959,,"Rebuilt 1,050cc Inline-Four",4-Speed Manual,,8000
198,24419,ECR33015283,True,1988holloway,"Fort Polk, Louisiana 71459",,1993,237000,Turbocharged 2.5-Liter Six,5-Speed Manual Gearbox,,5000
199,24466,4USBT53595LU10705,True,DENWERKS,"Salem, Oregon 97304",,2005,38000,3.0L M54 Inline-Six,5-Speed Automatic,,10000
200,24236,WDBAB93C5FF044475,True,wcclassics,"Torrance, California 90501",,1985,177000,3.0-Liter Turbodiesel Inline-Five,Four-Speed Automatic Transmission,,12250
