,Lot Number,Chassis Number,Running Condition,Seller,Location,Model,Year,Kilometers,Engine,Gearbox,Date,Price
74,24320,WBAAB540XE9506229,True,1600veloce,"North Salem, New York 10560",BMW E30,1984,189580,2.7-Liter Inline-Six,Five-Speed Manual Transmission,,3790
75,24403,WDBWK73F26F115541,True,Cpl8888,"Clarks Summit, Pennsylvania 18411",Mercedes-Benz AMG,2006,12000,5.4-Liter V8,Seven-Speed Automatic Transmission,,17750
76,24335,HDC4366953,True,kmp26race,"Wakarusa, Kansas 66546",MG MGA,1959,45000,"1,500cc Inline-Four",4-Speed Manual,,5500
77,24311,1Z37L2S511627,True,Jweiser,"Waynesboro, Virginia 22980",Chevrolet Corvette C3,1972,104000,Numbers-Matching 350ci LT1 V8,4-Speed Manual Transmission,,20250
78,24211,DCR5036,False,jhoar802,"Burlington, Vermont 05401",,1931,112000,No Engine Data Found,3-Speed Manual Transmission,,6000
79,24315,CF1826ZU,True,Tucsonautomuseum,"Tucson, Arizona 85719",Triumph TR6,1974,152000,2.5-Liter Inline-Six,4-Speed Manual Transmission,,6000
80,24391,SCBDP3ZA5AC062927,True,bruce_m,"Doylestown, Pennsylvania 18901",Bentley Continental GT,2010,62000,Twin-Turbocharged 6.0L W12,6-Speed Automatic Transmission,,50000
81,24297,WBAAA230XH3113132,True,jariess,"Bay Village, Ohio 44140",BMW E30,1987,144000,2.5-Liter M20 Inline-Six,Four-Speed Automatic Transmission,,7000
82,24206,453360,True,pfriedman,"Tustin, California 92780",Porsche Longhood 911,,,2.5L Short-Stroke Flat-Six,4-Speed 935 Manual Gearbox,,28000
83,24372,WP0JB0933KS050247,True,360_Modena,"Costa Mesa, California 92649",Porsche 930 Turbo,1989,157071,Turbocharged 3.3L Flat-Six,5-Speed Manual Transaxle,,60000
84,24210,WBA18310007215078,True,JoeKregori,"Sun Valley, California 91352",BMW 3-Series,1980,226000,2.5-Liter M20 Inline-Six,5-Speed Dogleg Manual Gearbox,,7200
85,24396,WDBSK79F05F091311,True,bruce_m,"Doylestown, Pennsylvania 18901",Mercedes-Benz R230 SL,2005,148000,Twin-Turbocharged 6.0L V12,5-Speed Automatic Transmission,,15500
86,24324,SCFFDECNXCGG13830,True,eddymike,"Cincinnati, Ohio 45255",,2012,12000,5.9-Liter V12,Six-Speed Automatic Gearbox,,48000
87,24317,F25J8H13500,True,jhicks815,"Hopkins, Minnesota 55305",Ford Pickup,1958,25000,No Engine Data Found,3-Speed Manual Transmission,,11000
88,24306,9288102070,True,SharkHunter84,"Dallas, Texas 75219",Porsche 928,1978,106000,4.5L V8,5-Speed Transaxle,,12500
89,24382,JM1FC3319L0804681,True,spitz17,"Cupertino, California 95014",Mazda RX-7 FC,1990,46000,1.3L Two-Rotor Wankel,5-Speed Manual,,4900
