Lot Number,Chassis Number,Running Condition,Seller,Location,Model,Year,Kilometers,Engine,Gearbox,Date,Price
14768.0,4-63 68900,True,sullivanb,"Marietta, Georgia 30067",,1949.0,149000.0,2.2L Inline-Four,3-Speed Manual Gearbox w/Overdrive,2018-12-11,20250.0
17385.0,WP0AD29937S783562,True,EKPERORMANCE,"Montreal, Quebec",Porsche 997 Turbo,2007.0,80000.0,3.6L Flat-Six,6-Speed Manual Transaxle,2019-03-26,56000.0
13653.0,304854,True,dbeaudry,"Boise, Idaho 83713",Porsche Longhood 911,1966.0,890.0,Original 2.0L Flat-Six,Original 5-Speed 901 Gearbox,2018-10-31,73000.0
18785.0,CL360-1010566,True,UltraMotorSource,"Menasha, Wisconsin 54952",Honda Motorcycles,1974.0,17000.0,356cc OHC Parallel Twin,6-Speed Transmission,2019-05-13,2650.0
15524.0,CT1-005000,True,alfadude1,"Windham, New Hampshire 03087",,1969.0,2444.0,175cc Two-Stroke Single,5-Speed Transmission,2019-01-14,8250.0
20879.0,3667,True,Harborman,"Janesville, Wisconsin 53545",,1921.0,,No Engine Data Found,3-Speed Manual,2019-07-15,25000.0
19409.0,WBSDE93471BZ99656,True,blang816,"Houston, Texas 77055",BMW E39 M5,2001.0,109000.0,4.9-Liter S62 V8,6-Speed Manual Gearbox,2019-05-31,35500.0
14353.0,SALPV1642YA436346,True,AJExotics,"Ventura, California 93003",,,127000.0,4.6-Liter V8,4-Speed Automatic Transmission,2018-11-26,16250.0
15758.0,WDBFA76F11F197771,True,hdarth,"Minneapolis, Minnesota 55424",Mercedes-Benz R129 SL,2001.0,93000.0,6.0L V12,5-Speed Automatic Transmission,2019-01-23,16050.0
19224.0,WBSCM9331XLC60505,True,CollectorCarsChicago,"Aurora, Illinois 60504",BMW M Coupe,1999.0,88000.0,3.2-Liter S52 Inline-Six,5-Speed Manual Transmission,2019-05-27,22250.0
14222.0,46-0568,True,Marlow42,"Woodbury, Connecticut 06798",Lotus Europa,1968.0,70000.0,"Numbers-Matching 1,470cc Inline-Four",4-Speed Manual Transaxle,2018-11-21,15500.0
14314.0,574040,True,Cl55goode,"Alexandria, Virginia 22307",Land Rover Defender,1989.0,279000.0,Rebuilt 3.5-Liter V8,5-Speed Manual Gearbox,2018-11-23,52510.0
17950.0,B382000231LRXFE,True,robertbates,"Keystone Heights, Florida",Sunbeam Tiger,1966.0,246.0,Rebuilt 260ci Ford V8,4-Speed Manual Transmission,2019-04-16,53000.0
14725.0,2709455,True,TerrySayther,"Austin, Texas",BMW 2002,1972.0,82000.0,Rebuilt 2.0L Inline-Four,4-Speed Manual,2018-12-10,17750.0
13327.0,BNR32214642,True,triphone,"Chatham, Ontario, Canada",Nissan R32 Skyline,1991.0,126000.0,Twin-Turbocharged 2.6L Inline Six,5-Speed Manual Gearbox,2018-10-18,14250.0
17782.0,JHMAP21495S007164,True,rangernate,"Puyallup, Washington 98374",Honda S2000,2005.0,16000.0,2.2L DOHC-VTEC Inline-Four,6-Speed Manual Transmission,2019-04-10,25500.0
18067.0,9116200877,True,tjk6911,"Omaha, Nebraska 68164",Porsche Impact Bumper 911,1976.0,141000.0,Numbers-Matching 2.7L Flat-Six,Transmission: 7162077,2019-04-18,22750.0
13511.0,PL510415529,True,kerf,"Saint Cloud, Minnesota 56301",Datsun 510,1972.0,19000.0,Turbocharged 2.0-Liter SR20DET Inline-Four,S13 5-Speed Manual Transmission,2018-10-25,37050.0
20039.0,FJ40903267,True,Alfredo_garcia,"Miami, Florida 33178",Toyota Land Cruiser FJ40,1976.0,,4.2-Liter 2F Inline-Six,4-Speed Manual Transmission,2019-06-19,29500.0
20820.0,86A-11,True,Cunn5,"Wellington, Florida 33414",,1991.0,,4.2L Buick V6,6-Speed Hewland Transaxle,2019-07-11,36250.0
16500.0,5UXFA13535LB09743,True,Bimmerphile,"Stockton, California 95203",,2005.0,162000.0,3.0L Inline-Six,6-Speed Manual Transmission,2019-02-20,6300.0
16974.0,WP0CA29946S755110,True,n54zach,"Roanoke, Virginia 24014",Porsche 997 911,2006.0,85000.0,3.6-Liter Flat Six,6-Speed Manual Transaxle,2019-03-11,30000.0
19502.0,2G2FV22G822134178,True,Hotwings4,"Lititz, Pennsylvania 17543",Pontiac Firebird,,33000.0,5.7-Liter LS1 V8,6-Speed Manual Transmission,2019-06-04,16500.0
17086.0,80903,True,johnfw,"Hinsdale, Illinois 60521",Porsche 356 Speedster,1955.0,120000.0,"Numbers-Matching 1,488cc S Flat-Four",4-Speed Manual Transaxle,2019-03-14,198000.0
15639.0,WP0CB2969LS471311,True,LITIG84LIFE,"King, North Carolina 27021",Porsche 964 911,1990.0,88000.0,3.6-Liter Flat-Six,4-Speed Tiptronic Transmission,2019-01-18,28000.0
16519.0,AR1161150002587,True,GTV,"Fresno, California 93711",,1977.0,35000.0,2.0L Twin-Cam Inline-Four,5-Speed Manual Transaxle,2019-02-21,5000.0
15010.0,,True,lattucaf,"Pleasant Hill, California 94523",,1980.0,,998cc Honda Inline-Four,6-Speed Manual Gearbox,2018-12-20,11500.0
17331.0,1J4GS5873MP802007,True,choicedealsnc2017,"Raleigh, North Carolina 27606",Jeep Grand Wagoneer,1991.0,144000.0,360ci V8,3-Speed Automatic Transmission,2019-03-25,28250.0
19499.0,1JCNJ15U0GT096949,True,Cleanclassics,"Millerton, New York 12546",Jeep Grand Wagoneer,1986.0,111000.0,5.9-Liter V8,3-Speed Automatic Transmission,2019-06-04,23500.0
14163.0,194675s107329,True,Dons65,"Cedar Lake, Indiana 46303",Chevrolet Corvette C2,1965.0,,357ci V8,Muncie 4-Speed Manual,2018-11-19,37000.0
19603.0,WP0AB29923S685171,True,UtahPorscheFan,"Salt Lake City, Utah 84108",Porsche 996 911 Turbo,2003.0,112010.0,Twin-Turbo 3.6L Flat-Six,6-Speed Manual Transmission,2019-06-06,48500.0
17569.0,WDDHH7EB6CA584312,True,mbrandonmotorcars,"Houston, Texas 77008",Mercedes-Benz E55 & E63 AMG Wagon,2012.0,111000.0,Biturbo 5.5L V8,7-Speed Automatic Transmission,2019-04-02,42750.0
15760.0,P1B79389BW,True,BuddysJag,"Boulder, Colorado 80302",,1967.0,27000.0,3.8-Liter DOHC Inline-Six,,2019-01-23,7100.0
19202.0,SALLDVAF8HA481027,True,LouBear,"Richmond, Virginia 23220",Land Rover Defender,1991.0,163000.0,2.5-Liter 200TDi Inline-Four,5-Speed Manual Gearbox,2019-05-24,31000.0
16557.0,317087736,True,trevorpearson,"Newbury Park, California",,1967.0,6000.0,Air-Cooled 1.6L Flat-Four,4-Speed Manual Transmission,2019-02-22,13250.0
20659.0,782827G388974,True,911r,"Portland, Oregon",International Harvester Scout,1970.0,160.0,304ci V8,4-Speed Manual Transmission,2019-07-08,48500.0
19898.0,WP0AA2993VS321279,True,WellingtonSeller,"Chantilly, Virginia 20152",Porsche 993 911,1997.0,80000.0,3.6L Flat-Six,6-Speed Manual Transaxle,2019-06-14,53500.0
13638.0,SALLDHMV7KF806657,True,LouBear,"Richmond, Virginia 23220",Land Rover Defender,1993.0,239000.0,3.5-Liter V8,5-Speed Manual Transmission,2018-10-30,34000.0
15588.0,SAJDA15B51MF27691,True,badbenz94,"Channahon, Illinois 60410",Jaguar XJ,2001.0,151000.0,Supercharged 4.0-Liter V8,5-Speed Automatic Transmission,2019-01-16,8250.0
19518.0,2075440,True,seapro,"Charleston, South Carolina 29412",,1929.0,,2.8L Ford V6,C4 Automatic Transmission,2019-06-04,21100.0
13689.0,JF1ZNAA16D1715134,True,SWVintage,"Phoenix, Arizona 85018",,2013.0,1079.0,Turbocharged 2.0-Liter Flat-Four,Tremec TKO 5-Speed Gearbox,2018-10-31,23750.0
16166.0,,True,PatrickMotorsports,"Phoenix, Arizona 85034",Porsche Impact Bumper 911,,,3.0L Flat-Six,915 Transaxle w/ LSD,2019-02-08,49250.0
15686.0,SAJWA4EC7BMB42492,True,SWVintage,"Phoenix, Arizona 85018",Jaguar XKR,2011.0,28000.0,Supercharged 5.0-Liter V8,6-Speed Automatic Transmission,2019-01-21,32500.0
20283.0,1269984,True,Luis_A.,"Milwaukee, Wisconsin 53217",,1966.0,74000.0,1.8L Inline-Four,4-Speed Manual Gearbox,2019-06-26,20000.0
15770.0,SDKLDKANS20022513,True,cjpurvis,"Los Angeles, California",Lotus Seven & Caterham Seven,,9000.0,2.0L Zetec Inline-Four,5-Speed Manual,2019-01-23,26450.0
13827.0,JHMAP21464T001122,True,JaemanKim,"Alameda, California 94501",Honda S2000,2004.0,130704.0,F22C1 2.2L VTEC Inline-Four,6-Speed Transmission,2018-11-07,18000.0
20154.0,Wmwsu9c56dt721983,True,dkyranakis,"Wilmington, Delaware 19807",Mini Modern,2013.0,51000.0,Turbocharged 1.6L Inline-Four,Getrag 6-Speed Manual,2019-06-24,16600.0
15762.0,114115n103020,True,swise,"Simi Valley, California 93065",,1965.0,67000.0,No Engine Data Found,TH350 Transmission,2019-01-23,13057.0
19383.0,WBSDE9346YBZ97181,True,M3NTAL_13,"Evergreen, Colorado 80439",BMW E39 M5,2000.0,191000.0,4.9-Liter V8,6-Speed Manual Transmission,2019-05-30,16200.0
16355.0,H-BT7-L/15983,True,stevekank,"Kingston, Pennsylvania 18704",Austin-Healey 3000,1962.0,80708.0,Multiple Entries Found,4-Speed Gearbox with Overdrive,2019-02-14,36000.0
18440.0,B0LB153966,True,cachotv,"Corona, California 92883",,1950.0,10460.0,Supercharged 5.4-Liter V8,4R100 4-Speed Automatic Transmission,2019-05-02,29000.0
15733.0,027710,True,davidlobster,"Hadley, Massachusetts 01035",,1969.0,140000.0,2.8L M130 Inline-Six,Automatic Transmission,2019-01-22,4702.0
13906.0,5umdu93467ll93466,True,Rooney42,"Madison, Wisconsin 53703",BMW Z4 M Coupe,2007.0,95594.0,3.2-Liter S54 Inline-Six,6-Speed Manual Transmission,2018-11-09,29000.0
20947.0,SALLDHMV7KA924944,True,gregmhtd,"Dallas, Texas 75252",Land Rover Defender,1993.0,27000.0,3.5-Liter V8,Five-Speed Manual Gearbox,2019-07-16,66000.0
20101.0,MA-25645,True,Battic,"Mansfield, Massachusetts 02048",,,,2006 Triumph 865cc Parallel Twin,5-Speed Transmission,2019-06-21,13813.0
14887.0,WBAHA91050BL45755,True,CEC,"Casselberry, Florida 32707",BMW 5-Series,1993.0,113000.0,2.5L Turbodiesel Inline-Six,5-Speed Manual Transmission,2018-12-14,6434.0
15009.0,194675S118212,True,flohmann,"San Francisco, California 94114",Chevrolet Corvette C2,1965.0,123000.0,Orignal 327ci L79 V8,Original 4-Speed Manual Transmission,2018-12-20,41751.0
15759.0,204468,True,Uncle_Pat,"Laguna Beach, California 92651",,1952.0,127000.0,No Engine Data Found,4-Speed HydraMatic Transmission,2019-01-23,20500.0
18231.0,WDBBA48D4JA079719,True,CMcBasketball,"Bedford, New York 10506",Mercedes-Benz R107 SL,1988.0,74000.0,5.5L V8,Automatic Transmission,2019-04-24,23250.0
13190.0,WDBAB93A9EF022010,True,mbkindofguy,"Milton, Vermont 05468",Mercedes-Benz W123,1984.0,336000.0,3.0-Liter Turbodiesel Inline-Five,4-Speed Automatic Transmission,2018-10-15,7500.0
15044.0,5011171,True,GutenLevent,"Maplewood, New Jersey 07040",BMW 5-Series,1976.0,,3.4-Liter M30B34 Inline-Six,Getrag 5-Speed Manual Transmission,2018-12-21,11000.0
17205.0,1342745236,True,logtrucker,"Sweet Home, Oregon 97386",Volkswagen Beetle,1974.0,804.0,"1,600cc Flat-Four",4-Speed Manual Transaxle,2019-03-19,6300.0
13375.0,ZFFAA02A1B0036579,True,preachhames,"Lincolnton, North Carolina 28092",Ferrari 308,1981.0,57000.0,2.9-Liter Fuel-Injected V8,5-Speed Manual Transaxle,2018-10-22,66000.0
13519.0,JT3FJ60G0D0075900,True,Bernard,"Ventura, California 93001",Toyota Land Cruiser FJ60 & FJ62,1983.0,146000.0,4.2-Liter Straight-Six,4-Speed Manual Gearbox,2018-10-25,34000.0
16074.0,WDBAB93A6EF004693,True,redmiston,"Portland, Oregon 97230",Mercedes-Benz W123,1984.0,185000.0,3.0L Turbodiesel Inline-Five,4-Speed Automatic Transmission,2019-02-05,6400.0
16796.0,5F09C291226,True,tdcupp,"Phoenix, Arizona 85054",Ford Mustang 1964.5-1966,1965.0,1047.0,302ci V8,4-Speed Manual Gearbox,2019-03-05,35500.0
